id,Restaurant,Adress,Time,Price,City
1,Cơm Tấm Thành Công - Võ Văn Kiệt,"TK 14/5 Võ Văn Kiệt, P. Cầu Kho, Quận 1, TP. HCM",00:00 - 23:59,28.000 - 65.000,HCM
2,"Rovis - Coffee, Sinh Tố & Nước Ép","132/1C Mã Lò, P. Bình Trị Đông A, Bình Tân, TP. HCM",Đã đóng,10.000 - 35.000,HCM
3,Ẩm Thực Thái Lan & Hàn Quốc - Bếp Nhà BBQ,"844 Võ Văn Kiệt, P. 5, Quận 5, TP. HCM",15:00 - 22:45,10.000 - 110.000,HCM
4,Lão Ril - Bánh Tráng Trộn - Shop Online,"805/11 Phan Văn Trị, P. 7, Gò Vấp, TP. HCM",Đã đóng,15.000 - 80.000,HCM
5,Ăn Vặt Hường Mụi - Shop Online,"206/16 Đường Số 20, P. 5, Gò Vấp, TP. HCM",Đã đóng,12.000 - 85.000,HCM
6,Ròm - Tea & More,"1 Bông Sao, P. 5, Quận 8, TP. HCM",Đã đóng,18.000 - 35.000,HCM
7,Gióng - Cà Phê - Lý Chính Thắng,"180 - 182 Lý Chính Thắng, P. 9, Quận 3, TP. HCM",Đã đóng,45.000 - 115.000,HCM
8,Cô Siêu - Hủ Qua Cà Ớt - Shop Online,"258/19 Mai Xuân Thưởng, P. 2, Quận 6, TP. HCM",Đã đóng,6.000 - 60.000,HCM
9,Vapu Food & More - Ăn Vặt,"819/11/10 Quang Trung, P. 12, Gò Vấp, TP. HCM",Đã đóng,10.000 - 230.000,HCM
10,Lengkeng - Kem Kẹp Singapore Quận 7,"159 Đường Số 17, P. Tân Quy, Quận 7, TP. HCM",Đã đóng,25.000 - 25.000,HCM
11,Farine - Bakery & Coffee,"412 Xô Viết Nghệ Tĩnh, P. 25, Bình Thạnh, TP. HCM",Đã đóng,35.000 - 70.000,HCM
12,Mr.Fresh Coffee,"152 Nguyễn Văn Đậu, P. 7, Bình Thạnh, TP. HCM",Đã đóng,14.000 - 18.000,HCM
13,Deju - Clean Eating & Fresh Drinking,"31 Đoàn Hồng Phước, P. Hoà Thạnh, Tân Phú, TP. HCM",Đã đóng,19.000 - 35.000,HCM
14,Tiệm Ngọt - Trà Sữa & Cà Phê - Lâm Văn Bền,"94/8 Lâm Văn Bền, P. Tân Kiểng, Quận 7, TP. HCM",Đã đóng,15.000 - 25.000,HCM
15,"Rovis - Trà Sữa, Nước Ép & Cafe Nguyên Chất","A1.20 Chung Cư Ruby Celadon, Hương Lộ 3, P. Sơn Kỳ, Tân Phú, TP. HCM",Đã đóng,13.000 - 35.000,HCM
16,"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Aeon Mall Bình Tân","T1 Tầng 3, Aeon Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông B, Bình Tân, TP. HCM",Đã đóng,80.000 - 695.000,HCM
17,Lavi Tea - Trà Sữa & Trà,"21B Nguyễn Háo Vĩnh, P. Tân Quý, Tân Phú, TP. HCM",Đã đóng,15.000 - 35.000,HCM
18,Gần Nhà - Coffee & Tea,"609/29 Lê Quang Định, P. 1, Gò Vấp, TP. HCM",Đã đóng,8.000 - 28.000,HCM
19,Hồng Thanh - Milk Tea,"86 Nhất Chi Mai, P. 13, Tân Bình, TP. HCM",Đã đóng,10.000 - 25.000,HCM
20,Bánh Tráng Chị Hạnh,"99/5 Đường Số 41, P. 6, Quận 4, TP. HCM",Đã đóng,5.000 - 35.000,HCM
21,Pull Tea - Hùng Vương,"99 Hùng Vương, P. 4, Quận 5, TP. HCM",Đã đóng,10.000 - 60.000,HCM
22,Shop KEM - Bánh Tráng Trộn & Ăn Vặt - Nguyễn Cửu Vân,"75/35 Nguyễn Cửu Vân, P. 17, Bình Thạnh, TP. HCM",Đã đóng,20.000 - 40.000,HCM
23,Trà Sữa TA - Ngô Tất Tố,"91E Ngô Tất Tố, P. 22, Bình Thạnh, TP. HCM",Đã đóng,25.000 - 50.000,HCM
24,Vedrenne - Tea & Coffee,"10 Nguyễn Cảnh Dị, P. 4, Tân Bình, TP. HCM",Đã đóng,29.000 - 49.000,HCM
25,Tiệm Trà Choanh - Shop Online,"Tầng Trệt, Tòa Nhà Park 6B - Vinhomes Central Park, 720A Điện Biên Phủ, P. 22, Bình Thạnh, TP. HCM",Đã đóng,15.000 - 30.000,HCM
26,Cơm Tấm Thành Công - Võ Văn Kiệt,"TK 14/5 Võ Văn Kiệt, P. Cầu Kho, Quận 1, TP. HCM",00:00 - 23:59,28.000 - 65.000,HCM
27,"Rovis - Coffee, Sinh Tố & Nước Ép","132/1C Mã Lò, P. Bình Trị Đông A, Bình Tân, TP. HCM",Đã đóng,10.000 - 35.000,HCM
28,Ẩm Thực Thái Lan & Hàn Quốc - Bếp Nhà BBQ,"844 Võ Văn Kiệt, P. 5, Quận 5, TP. HCM",15:00 - 22:45,10.000 - 110.000,HCM
29,Lão Ril - Bánh Tráng Trộn - Shop Online,"805/11 Phan Văn Trị, P. 7, Gò Vấp, TP. HCM",Đã đóng,15.000 - 80.000,HCM
30,Ăn Vặt Hường Mụi - Shop Online,"206/16 Đường Số 20, P. 5, Gò Vấp, TP. HCM",Đã đóng,12.000 - 85.000,HCM
31,Ròm - Tea & More,"1 Bông Sao, P. 5, Quận 8, TP. HCM",Đã đóng,18.000 - 35.000,HCM
32,Gióng - Cà Phê - Lý Chính Thắng,"180 - 182 Lý Chính Thắng, P. 9, Quận 3, TP. HCM",Đã đóng,45.000 - 115.000,HCM
33,Cô Siêu - Hủ Qua Cà Ớt - Shop Online,"258/19 Mai Xuân Thưởng, P. 2, Quận 6, TP. HCM",Đã đóng,6.000 - 60.000,HCM
34,Vapu Food & More - Ăn Vặt,"819/11/10 Quang Trung, P. 12, Gò Vấp, TP. HCM",Đã đóng,10.000 - 230.000,HCM
35,Lengkeng - Kem Kẹp Singapore Quận 7,"159 Đường Số 17, P. Tân Quy, Quận 7, TP. HCM",Đã đóng,25.000 - 25.000,HCM
36,Farine - Bakery & Coffee,"412 Xô Viết Nghệ Tĩnh, P. 25, Bình Thạnh, TP. HCM",Đã đóng,35.000 - 70.000,HCM
37,Mr.Fresh Coffee,"152 Nguyễn Văn Đậu, P. 7, Bình Thạnh, TP. HCM",Đã đóng,14.000 - 18.000,HCM
38,Deju - Clean Eating & Fresh Drinking,"31 Đoàn Hồng Phước, P. Hoà Thạnh, Tân Phú, TP. HCM",Đã đóng,19.000 - 35.000,HCM
39,Tiệm Ngọt - Trà Sữa & Cà Phê - Lâm Văn Bền,"94/8 Lâm Văn Bền, P. Tân Kiểng, Quận 7, TP. HCM",Đã đóng,15.000 - 25.000,HCM
40,"Rovis - Trà Sữa, Nước Ép & Cafe Nguyên Chất","A1.20 Chung Cư Ruby Celadon, Hương Lộ 3, P. Sơn Kỳ, Tân Phú, TP. HCM",Đã đóng,13.000 - 35.000,HCM
41,"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Aeon Mall Bình Tân","T1 Tầng 3, Aeon Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông B, Bình Tân, TP. HCM",Đã đóng,80.000 - 695.000,HCM
42,Lavi Tea - Trà Sữa & Trà,"21B Nguyễn Háo Vĩnh, P. Tân Quý, Tân Phú, TP. HCM",Đã đóng,15.000 - 35.000,HCM
43,Gần Nhà - Coffee & Tea,"609/29 Lê Quang Định, P. 1, Gò Vấp, TP. HCM",Đã đóng,8.000 - 28.000,HCM
44,Hồng Thanh - Milk Tea,"86 Nhất Chi Mai, P. 13, Tân Bình, TP. HCM",Đã đóng,10.000 - 25.000,HCM
45,Bánh Tráng Chị Hạnh,"99/5 Đường Số 41, P. 6, Quận 4, TP. HCM",Đã đóng,5.000 - 35.000,HCM
46,Pull Tea - Hùng Vương,"99 Hùng Vương, P. 4, Quận 5, TP. HCM",Đã đóng,10.000 - 60.000,HCM
47,Shop KEM - Bánh Tráng Trộn & Ăn Vặt - Nguyễn Cửu Vân,"75/35 Nguyễn Cửu Vân, P. 17, Bình Thạnh, TP. HCM",Đã đóng,20.000 - 40.000,HCM
48,Trà Sữa TA - Ngô Tất Tố,"91E Ngô Tất Tố, P. 22, Bình Thạnh, TP. HCM",Đã đóng,25.000 - 50.000,HCM
49,Vedrenne - Tea & Coffee,"10 Nguyễn Cảnh Dị, P. 4, Tân Bình, TP. HCM",Đã đóng,29.000 - 49.000,HCM
50,Tiệm Trà Choanh - Shop Online,"Tầng Trệt, Tòa Nhà Park 6B - Vinhomes Central Park, 720A Điện Biên Phủ, P. 22, Bình Thạnh, TP. HCM",Đã đóng,15.000 - 30.000,HCM
51,Vườn Ẩm Thực 8z - Sinh Tố & Nước Ép,"V40 Nguyễn Hữu Hào, P. 8, Quận 4, TP. HCM",Đã đóng,20.000 - 55.000,HCM
52,K-Pub - Nướng Phong Cách Pub Hàn Quốc - Phan Xích Long,"133 Phan Xích Long, P. 2, Phú Nhuận, TP. HCM",Đã đóng,150.000 - 200.000,HCM
53,Bánh Tráng Thảo Nguyên,"433 Phạm Văn Chí, P. 7, Quận 6, TP. HCM",Đã đóng,10.000 - 40.000,HCM
54,Foodstreet - Đồ Ăn Hàn Quốc & Trà Trái Cây,"214 Quốc Lộ 1K, P. Linh Xuân, Thành Phố Thủ Đức, TP. HCM",Đã đóng,20.000 - 59.000,HCM
